,word,time
1364,opinions,6
1365,paint,17
1366,Earlier,4
1367,told,165
1368,lascivious,2
1369,nudes,1
1370,sign,34
1371,increasing,36
1372,decadence,2
1373,centre,64
1374,inflexible,2
1375,regime,1
1376,phrase,11
1377,troubling,1
1378,echoes,1
1379,vocabulary,2
1380,film,45
1381,films,26
1382,prepared,25
1383,judge,35
1384,merely,43
1385,symptoms,6
1386,decay,3
1387,startling,5
1388,MUSICALS,1
1389,Bows,1
1390,Holly,3
1391,Mark,21
1392,Steyn,1
1393,reviews,2
1394,London,128
1395,latest,37
1396,biography,1
1397,Buddy,8
1398,Victoria,39
1399,Palace,6
1400,MARK,2
1401,STEYN,1
1402,THE,89
1403,TEXANS,1
1404,drawl,1
1405,blacks,5
1406,go,502
1407,Yo,16
1408,Hispanics,1
1409,leer,1
1410,Hey,8
1411,ameeeeeeeego,1
1412,towering,2
1413,stage,65
1414,cliches,3
1415,course,222
1416,driven,10
1417,genius,3
1418,stemmed,1
1419,forces,32
1420,Who,45
1421,Wagner,9
1422,Glenn,3
1423,Miller,6
1424,Jason,11
1425,Donovan,1
1426,accents,5
1427,pants,2
1428,squares,3
1429,wear,22
1430,slacks,2
1431,guys,3
1432,Warned,1
1433,sing,7
1434,station,32
1435,insists,10
1436,ta,44
1437,play,93
1438,ma,2
1439,Misunderstood,1
1440,Decca,1
1441,Records,3
1442,maintains,2
1443,wan,29
1444,na,136
1445,way,436
1446,Even,64
1447,hits,2
1448,tells,30
1449,Crickets,1
1450,unconvinced,1
1451,money,160
1452,fame,7
1453,pleads,3
1454,want,312
1455,booze,8
1456,Booze,1
1457,midway,3
1458,Act,169
1459,II,5
1460,solitary,5
1461,hove,1
1462,plot,3
1463,development,53
1464,involves,18
1465,turning,23
1466,Aled,1
1467,Jones,31
1468,types,45
1469,Oliver,5
1470,Reeds,1
1471,why,194
1472,let,80
1473,logic,2
1474,happens,23
1475,behind,86
1476,common,150
1477,reason,90
1478,biomusical,1
1479,opportunism,1
1480,star,8
1481,Judy,1
1482,Garland,1
1483,Lennon,1
1484,pick,30
1485,hit,49
1486,title,55
1487,Alan,23
1488,Janes,1
1489,matches,15
1490,dialogue,3
1491,Golden,6
1492,Greats,1
1493,collection,14
1494,Dramatists,1
1495,Reliables,1
1496,Choke,1
1497,Price,3
1498,Of,69
1499,Fame,1
1500,give,189
1501,em,9
1502,everything,59
1503,stick,21
1504,knife,7
1505,Fight,3
1506,tears,11
1507,Inevitable,1
1508,Parting,1
1509,boy,88
1510,reckon,18
1511,road,57
1512,Marvel,2
1513,Little,14
1514,Woman,4
1515,Behind,8
1516,Man,7
1517,fer,2
1518,girlfriend,2
1519,kinda,3
1520,justification,21
1521,authenticity,2
1522,based,73
1523,fact,167
1524,pledges,2
1525,solemnly,3
1526,programme,35
1527,notes,14
1528,often,187
1529,stranger,16
1530,fiction,3
1531,Often,6
1532,us,161
1533,prefer,6
1534,Dallas,3
1535,neighbours,18
1536,comes,84
1537,generally,68
1538,lot,149
1539,duller,1
1540,Occasionally,2
1541,dramatist,1
1542,uncover,1
1543,someone,70
1544,interesting,40
1545,regardless,5
1546,unknown,15
1547,vaguely,3
1548,remembered,18
1549,many,416
1550,recall,9
1551,Maria,2
